"brand","model","processor_brand","processor_name","processor_gnrtn","ram_gb","ram_type","ssd","hdd","os","os_bit","graphic_card_gb","weight","display_size","warranty","Touchscreen","msoffice","latest_price","old_price","discount","star_rating","ratings","reviews"
"HP","Missing","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",0,"No","No",549.9,701.71,21,4.2,116,15
"HP","Missing","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","No",539.9,701.71,23,4.1,206,17
"Lenovo","Ideapad","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","14",2,"No","Yes",529.9,743.9,28,4.2,300,24
"HP","Pavilion","Intel","Core i5","11th","16 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",1,"No","Yes",679.9,782.94,13,4.5,108,6
"ASUS","TUF","Intel","Core i5","10th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",4,"Gaming","15.6",1,"No","No",579.9,819.9,29,4.5,3712,412
"Lenovo","Ideapad","Intel","Core i5","11th","16 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","Yes",623,1013.9,38,4.4,825,95
"realme","Book(Slim)","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","14",1,"No","Yes",529.9,699.99,24,4.4,3470,505
"Lenovo","IdeaPad","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",2,"No","Yes",519.9,889.9,41,4.2,85,4
"Lenovo","IdeaPad","Intel","Core i5","11th","16 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",0,"No","No",619.9,978.9,36,4.2,56,7
"RedmiBook","Pro","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","32-bit",0,"ThinNlight","15.6",1,"No","No",489.9,599.9,18,4.2,1708,242
"ASUS","VivoBook","Intel","Core i5","11th","8 GB GB","LPDDR4X","512 GB","0 GB","Windows","32-bit",0,"Casual","14",1,"Yes","Yes",639.9,829.9,22,4.6,10,1
"Lenovo","ThinkPad","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","15.6",1,"No","Yes",659.9,781.09,15,4.6,17,4
"Nokia","PureBook","Intel","Core i5","10th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",0,"No","No",479.9,900,46,4.4,1119,242
"acer","Aspire","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","15.6",1,"No","No",529.9,759.99,30,4.2,155,20
"ASUS","ASUS","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",4,"Gaming","17.3",0,"No","No",719.9,1159.9,37,4.4,91,17
"ASUS","VivoBook","Intel","Core i5","10th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","15.6",1,"No","No",479.9,629.9,23,4,35,2
"Nokia","PureBook","Intel","Core i5","10th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","14",0,"No","No",459.9,749.9,38,4.7,6,1
"Lenovo","IdeaPad","Intel","Core i5","10th","8 GB GB","DDR4","512 GB","0 GB","Windows","32-bit",0,"ThinNlight","15.6",2,"No","Yes",484.9,642.9,24,4.3,126,13
"ASUS","ASUS","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",4,"Gaming","17.3",0,"No","No",729.9,1059.9,31,4.5,74,10
